precio,tipo,fraude
109.68719517646306,presencial,True
211.0521862314675,presencial,False
113.44269067814044,online,False
606.3849571007069,presencial,False
198.0379033194587,online,False
243.01783085698693,presencial,False
236.10202501655527,online,False
474.5718897805797,online,False
714.0555392137886,presencial,False
294.543642191506,presencial,False
322.3243747379818,presencial,False
482.7144388980322,online,False
258.7594566729281,presencial,False
350.843531467883,presencial,False
417.7788050286814,online,False
564.4696718752283,presencial,False
330.473933281563,online,False
718.0962111963082,presencial,False
323.83523583579773,presencial,False
247.50722266574326,online,False
512.6421337965543,online,False
272.2641233362271,online,False
735.3676076973633,online,False
255.74529703496708,online,False
611.1182760233563,online,False
299.6351327741054,online,False
318.8039807347138,presencial,False
209.96768929657668,presencial,False
561.9068286273383,presencial,False
291.3807045219025,presencial,False
297.8361844225626,online,False
261.09577608353834,presencial,False
401.7660344900373,online,False
161.49149718256388,online,False
401.21213682100046,online,False
331.52862327754514,online,False
273.96790158224934,presencial,False
388.19401110119867,presencial,False
313.3772365119219,presencial,False
378.4078183652752,online,False
309.33122849035,online,False
150.04707389290058,presencial,False
211.17458584898375,presencial,False
453.3633147752381,online,False
206.5413307519574,online,False
404.6276641438459,online,False
562.208344240433,presencial,False
529.529063800617,online,False
358.9383487643783,online,False
357.7626719094465,presencial,False
176.3550755294914,presencial,False
408.86420650702246,presencial,False
246.43739556685694,online,False
230.7038784708673,online,False
112.8371006865848,presencial,True
290.7971737204111,presencial,False
221.17347295388677,online,False
329.86209508393245,online,False
399.781536980655,presencial,False
254.63506377338965,presencial,False
278.06143741705523,online,False
553.3046966169416,presencial,False
125.9565213402853,online,False
184.92331483528653,online,False
375.698473825956,online,False
226.53692131305462,online,False
626.8324043189969,presencial,False
103.67994753450921,online,False
596.2142482792907,presencial,False
180.89696257043843,online,False
76.22990237677554,presencial,True
317.2332174971525,online,False
419.00917170145027,online,False
278.095777920827,online,False
254.30644775687782,presencial,False
315.0757717163808,online,False
144.04456407737356,online,False
569.510414786283,presencial,False
530.6634475946157,presencial,False
345.9588706280251,presencial,False
312.95934261966136,online,False
262.59779927337223,online,False
584.2102848002836,online,False
409.2885990717906,online,False
255.8567865876879,online,False
194.16075634364455,presencial,False
214.85181949897395,online,False
481.21829376251895,presencial,False
382.9452721353808,presencial,False
462.6311457199273,online,False
363.3137918089024,online,False
128.01252385496588,presencial,False
411.1086182848354,online,False
370.90886058687744,online,False
497.0225802940007,presencial,False
545.5132189887898,online,False
257.2464872700213,online,False
370.005925861182,online,False
661.3058219081728,online,False
522.4111498916653,presencial,False
388.6128056536667,presencial,False
464.57726756152084,presencial,False
550.572060371834,online,False
189.81787938842672,presencial,False
401.4693170219174,online,False
68.49542220290682,online,False
454.19562510185693,online,False
416.1624113104775,presencial,False
781.4210368410338,presencial,False
494.69615992246423,online,False
619.1934435848339,online,False
469.41648161731075,online,False
384.20154644829586,online,False
162.4702206815902,presencial,False
380.63867454519385,online,False
314.16788026243404,online,False
199.17925165889991,online,False
176.36115952865765,online,False
170.15648271876285,online,False
417.24128431183004,presencial,False
211.1416275339868,online,False
853.2465157082354,presencial,False
618.2467867575156,presencial,False
446.29251655287146,online,False
82.93780562669156,online,False
650.5450262115694,presencial,False
289.2351960868494,online,False
168.0730736984931,online,False
268.08544411405444,presencial,False
243.37224867833572,online,False
758.7116576526059,presencial,False
332.9703980981747,presencial,False
421.70422359613156,presencial,False
643.0698937916891,online,False
491.05455750934345,online,False
375.8917726573278,presencial,False
307.36316813033403,online,False
422.71275449940475,online,False
459.65446331488727,online,False
452.6027335269433,online,False
497.23431818006975,online,False
359.6794273483462,presencial,False
309.53253747696334,presencial,False
107.94340046887368,online,False
626.2872633994328,online,False
493.38661125916116,presencial,False
678.0814725633996,online,False
167.6318593458464,online,False
395.2391140332453,presencial,False
222.5582321019396,online,False
436.29077671889445,online,False
245.61688000413614,online,False
592.1615619329212,online,False
323.8944883296441,online,False
539.7791728153745,presencial,False
314.25384170417595,online,False
178.8196199436828,online,False
361.02438048535123,online,False
461.77987508237874,online,False
19.094709118496052,online,True
739.5156743154382,presencial,False
678.6672147108881,online,False
221.1518258882119,online,False
368.7685222512063,presencial,False
453.2153939383013,online,False
232.3175282341743,online,False
212.33164823376163,online,False
687.4532818490883,presencial,False
515.1483827911378,presencial,False
380.18367765712503,online,False
491.0143350973462,online,False
58.66580751704432,presencial,True
279.12494591253363,online,False
323.5110891696017,presencial,False
327.4941119819825,presencial,False
313.8765107537248,online,False
281.1702778049714,online,False
345.82887877751347,online,False
503.6065236788821,presencial,False
